encoder,layer,gate
MuQ,0,0.03221
MuQ,1,0.17137
MuQ,2,0.45230
MuQ,3,0.04441
MuQ,4,0.01498
MuQ,5,0.01072
MuQ,6,0.01604
MuQ,7,0.00914
MuQ,8,0.00969
MuQ,9,0.04871
MuQ,10,0.02518
MuQ,11,0.03968
MuQ,12,0.12556
MERT-v1-95M,0,0.01601
MERT-v1-95M,1,0.01613
MERT-v1-95M,2,0.03273
MERT-v1-95M,3,0.02488
MERT-v1-95M,4,0.03148
MERT-v1-95M,5,0.03011
MERT-v1-95M,6,0.03502
MERT-v1-95M,7,0.02402
MERT-v1-95M,8,0.20731
MERT-v1-95M,9,0.14200
MERT-v1-95M,10,0.19843
MERT-v1-95M,11,0.18320
MERT-v1-95M,12,0.05868
