encoder,layer,query_program,target_program,map,n_queries
CLaMP3,0,-1,-1,0.016719425097107887,1714
CLaMP3,0,0,0,0.12975774705410004,12
CLaMP3,0,0,48,0.2287643849849701,680
CLaMP3,0,0,56,0.6785984635353088,22
CLaMP3,0,0,60,0.314654678106308,268
CLaMP3,0,0,73,0.43232229351997375,86
CLaMP3,0,48,0,0.25248146057128906,676
CLaMP3,0,48,48,0.10732564330101013,4
CLaMP3,0,48,56,0.580081582069397,18
CLaMP3,0,48,60,0.3375500738620758,264
CLaMP3,0,48,73,0.423115998506546,82
CLaMP3,0,56,0,0.06319974362850189,16
CLaMP3,0,56,48,0.06896711885929108,16
CLaMP3,0,56,56,0.0,0
CLaMP3,0,56,60,0.199753075838089,16
CLaMP3,0,56,73,0.3056277334690094,16
CLaMP3,0,60,0,0.1064758375287056,262
CLaMP3,0,60,48,0.19952654838562012,262
CLaMP3,0,60,56,0.6618924140930176,16
CLaMP3,0,60,60,0.0,0
CLaMP3,0,60,73,0.3965227007865906,80
CLaMP3,0,73,0,0.10994164645671844,80
CLaMP3,0,73,48,0.1674533635377884,80
CLaMP3,0,73,56,0.5290324687957764,16
CLaMP3,0,73,60,0.2742616832256317,80
CLaMP3,0,73,73,0.0,0
CLaMP3,1,-1,-1,0.014911229722201824,1714
CLaMP3,1,0,0,0.1305040568113327,12
CLaMP3,1,0,48,0.23294103145599365,680
CLaMP3,1,0,56,0.6998105645179749,22
CLaMP3,1,0,60,0.38426992297172546,268
CLaMP3,1,0,73,0.5104990005493164,86
CLaMP3,1,48,0,0.2727562487125397,676
CLaMP3,1,48,48,0.10268067568540573,4
CLaMP3,1,48,56,0.5798611044883728,18
CLaMP3,1,48,60,0.39479154348373413,264
CLaMP3,1,48,73,0.46483054757118225,82
CLaMP3,1,56,0,0.09789997339248657,16
CLaMP3,1,56,48,0.1060008704662323,16
CLaMP3,1,56,56,0.0,0
CLaMP3,1,56,60,0.20236481726169586,16
CLaMP3,1,56,73,0.31613025069236755,16
CLaMP3,1,60,0,0.1465974748134613,262
CLaMP3,1,60,48,0.24447567760944366,262
CLaMP3,1,60,56,0.6580729484558105,16
CLaMP3,1,60,60,0.0,0
CLaMP3,1,60,73,0.41531163454055786,80
CLaMP3,1,73,0,0.13373978435993195,80
CLaMP3,1,73,48,0.146145299077034,80
CLaMP3,1,73,56,0.5887547135353088,16
CLaMP3,1,73,60,0.2849222421646118,80
CLaMP3,1,73,73,0.0,0
CLaMP3,2,-1,-1,0.01506276149302721,1714
CLaMP3,2,0,0,0.13771624863147736,12
CLaMP3,2,0,48,0.23306770622730255,680
CLaMP3,2,0,56,0.6505681872367859,22
CLaMP3,2,0,60,0.39100006222724915,268
CLaMP3,2,0,73,0.517775297164917,86
CLaMP3,2,48,0,0.28811249136924744,676
CLaMP3,2,48,48,0.1125372052192688,4
CLaMP3,2,48,56,0.5674679279327393,18
CLaMP3,2,48,60,0.41507279872894287,264
CLaMP3,2,48,73,0.4865891635417938,82
CLaMP3,2,56,0,0.10837160795927048,16
CLaMP3,2,56,48,0.11285435408353806,16
CLaMP3,2,56,56,0.0,0
CLaMP3,2,56,60,0.19212749600410461,16
CLaMP3,2,56,73,0.32129648327827454,16
CLaMP3,2,60,0,0.18848557770252228,262
CLaMP3,2,60,48,0.26447728276252747,262
CLaMP3,2,60,56,0.655195951461792,16
CLaMP3,2,60,60,0.0,0
CLaMP3,2,60,73,0.4229430556297302,80
CLaMP3,2,73,0,0.16512379050254822,80
CLaMP3,2,73,48,0.158066064119339,80
CLaMP3,2,73,56,0.5775444507598877,16
CLaMP3,2,73,60,0.3034932017326355,80
CLaMP3,2,73,73,0.0,0
CLaMP3,3,-1,-1,0.014159408397972584,1714
CLaMP3,3,0,0,0.13245801627635956,12
CLaMP3,3,0,48,0.21281957626342773,680
CLaMP3,3,0,56,0.5482954382896423,22
CLaMP3,3,0,60,0.37734609842300415,268
CLaMP3,3,0,73,0.5022278428077698,86
CLaMP3,3,48,0,0.28586557507514954,676
CLaMP3,3,48,48,0.11691087484359741,4
CLaMP3,3,48,56,0.5748753547668457,18
CLaMP3,3,48,60,0.41903388500213623,264
CLaMP3,3,48,73,0.4823894500732422,82
CLaMP3,3,56,0,0.1418493390083313,16
CLaMP3,3,56,48,0.13149990141391754,16
CLaMP3,3,56,56,0.0,0
CLaMP3,3,56,60,0.19298295676708221,16
CLaMP3,3,56,73,0.28623318672180176,16
CLaMP3,3,60,0,0.21003477275371552,262
CLaMP3,3,60,48,0.273127943277359,262
CLaMP3,3,60,56,0.6857514977455139,16
CLaMP3,3,60,60,0.0,0
CLaMP3,3,60,73,0.47161993384361267,80
CLaMP3,3,73,0,0.179385706782341,80
CLaMP3,3,73,48,0.17051655054092407,80
CLaMP3,3,73,56,0.6227825284004211,16
