encoder,variant,layer_token,layer,test_map,test_mrr,test_map_at_1
CLaMP3,VGMIDITVar,0,0,0.16647249460220337,0.32308560609817505,0.11351297795772552
CLaMP3,VGMIDITVar,1,1,0.17312932014465332,0.33289915323257446,0.11814010143280028
CLaMP3,VGMIDITVar,2,2,0.17836256325244904,0.34066811203956604,0.12229835987091064
CLaMP3,VGMIDITVar,3,3,0.1805315762758255,0.34430891275405884,0.12357716262340546
CLaMP3,VGMIDITVar,4,4,0.18185313045978543,0.34601256251335144,0.1249278485774994
CLaMP3,VGMIDITVar,5,5,0.18225078284740448,0.3463513255119324,0.1245489865541458
CLaMP3,VGMIDITVar,6,6,0.18196022510528564,0.3463574945926666,0.12450050562620164
CLaMP3,VGMIDITVar,7,7,0.18028508126735687,0.3439269959926605,0.12340418994426729
CLaMP3,VGMIDITVar,8,8,0.17789235711097717,0.34072425961494446,0.12122220546007156
CLaMP3,VGMIDITVar,9,9,0.17556864023208618,0.337759405374527,0.11994737386703493
CLaMP3,VGMIDITVar,10,10,0.17387716472148895,0.33573463559150696,0.11997179687023164
CLaMP3,VGMIDITVar,11,11,0.17284424602985382,0.333549439907074,0.11882192641496658
CLaMP3,VGMIDITVar,12,12,0.17299599945545197,0.3341803252696991,0.11904143542051315
CLaMP3,VGMIDITVar-multisf,meanall,-1,0.13045364618301392,0.2843233644962311,0.11157841980457306
CLaMP3,VGMIDITVar-multisf,0,0,0.11428449302911758,0.25819098949432373,0.10060976445674896
CLaMP3,VGMIDITVar-multisf,1,1,0.11933203041553496,0.2676379978656769,0.104336217045784
CLaMP3,VGMIDITVar-multisf,2,2,0.12375873327255248,0.27490490674972534,0.1077672317624092
CLaMP3,VGMIDITVar-multisf,3,3,0.12640973925590515,0.278973788022995,0.1084572821855545
CLaMP3,VGMIDITVar-multisf,4,4,0.12933124601840973,0.28311896324157715,0.11085840314626694
CLaMP3,VGMIDITVar-multisf,5,5,0.1313982903957367,0.2852743864059448,0.11227245628833772
CLaMP3,VGMIDITVar-multisf,6,6,0.1313527226448059,0.2851773202419281,0.111092709004879
CLaMP3,VGMIDITVar-multisf,7,7,0.13039198517799375,0.283515065908432,0.11097420752048492
CLaMP3,VGMIDITVar-multisf,8,8,0.12947212159633636,0.2813175320625305,0.10932253301143646
CLaMP3,VGMIDITVar-multisf,9,9,0.1272704154253006,0.2774258852005005,0.10757344216108322
CLaMP3,VGMIDITVar-multisf,10,10,0.1257474273443222,0.27475500106811523,0.1066293865442276
CLaMP3,VGMIDITVar-multisf,11,11,0.12470667064189912,0.2731561064720154,0.10619112104177476
CLaMP3,VGMIDITVar-multisf,12,12,0.12506511807441711,0.27352282404899597,0.10612443089485168
CLaMP3,VGMIDITVar-leitmotif,meanall,-1,0.0034394122194498777,0.010363137349486353,0.0006905132322572172
CLaMP3,VGMIDITVar-leitmotif,0,0,0.0041037509217858315,0.01141982339322567,0.0007124356925487518
CLaMP3,VGMIDITVar-leitmotif,1,1,0.003814209485426545,0.010850376449525356,0.0007273282972164452
CLaMP3,VGMIDITVar-leitmotif,2,2,0.004054334480315447,0.011547550559043884,0.0008892033947631717
CLaMP3,VGMIDITVar-leitmotif,3,3,0.003929156344383955,0.011450938880443571,0.0008452659239992499
CLaMP3,VGMIDITVar-leitmotif,4,4,0.00406684260815382,0.011794853955507278,0.0007494357414543629
CLaMP3,VGMIDITVar-leitmotif,5,5,0.004060286562889814,0.011782250367105007,0.0007164132548496127
CLaMP3,VGMIDITVar-leitmotif,6,6,0.003741928376257419,0.011096080765128136,0.0006963407504372299
CLaMP3,VGMIDITVar-leitmotif,7,7,0.0033483682200312614,0.010302351787686348,0.000717615766916424
CLaMP3,VGMIDITVar-leitmotif,8,8,0.0029481062665581703,0.00912848860025406,0.0005129130440764129
CLaMP3,VGMIDITVar-leitmotif,9,9,0.002921862993389368,0.00914085004478693,0.0005517631070688367
CLaMP3,VGMIDITVar-leitmotif,10,10,0.0028416323475539684,0.009032872505486012,0.0005932031199336052
CLaMP3,VGMIDITVar-leitmotif,11,11,0.0029156566597521305,0.00932779349386692,0.0006061531603336334
CLaMP3,VGMIDITVar-leitmotif,12,12,0.003045181045308709,0.009435445070266724,0.0005821031518280506
MERT-v1-95M,VGMIDITVar,0,0,0.13655132055282593,0.2752331793308258,0.09447135031223296
MERT-v1-95M,VGMIDITVar,1,1,0.14876990020275116,0.29474788904190063,0.09997780621051788
MERT-v1-95M,VGMIDITVar,2,2,0.15994909405708313,0.31245163083076477,0.10756651312112808
MERT-v1-95M,VGMIDITVar,3,3,0.1695728451013565,0.32688188552856445,0.11454971879720688
MERT-v1-95M,VGMIDITVar,4,4,0.16952793300151825,0.3268791735172272,0.1142721176147461
MERT-v1-95M,VGMIDITVar,5,5,0.16649237275123596,0.3214420974254608,0.1124129667878151
MERT-v1-95M,VGMIDITVar,6,6,0.1667092889547348,0.32241782546043396,0.11416713893413544
MERT-v1-95M,VGMIDITVar,7,7,0.16691242158412933,0.3230496346950531,0.11493375897407532
MERT-v1-95M,VGMIDITVar,8,8,0.1664762794971466,0.32180535793304443,0.11468180269002914
MERT-v1-95M,VGMIDITVar,9,9,0.16644525527954102,0.3220781981945038,0.11503866314888
MERT-v1-95M,VGMIDITVar,10,10,0.1652785986661911,0.32047614455223083,0.11479058116674425
MERT-v1-95M,VGMIDITVar,11,11,0.16473713517189026,0.31990817189216614,0.11394558846950532
MERT-v1-95M,VGMIDITVar,12,12,0.16150693595409393,0.31518521904945374,0.11280792951583862
MERT-v1-95M,VGMIDITVar-multisf,meanall,-1,0.11271463334560394,0.25472694635391235,0.09986042231321336
MERT-v1-95M,VGMIDITVar-multisf,0,0,0.09349144250154497,0.21674010157585144,0.08310328423976898
MERT-v1-95M,VGMIDITVar-multisf,1,1,0.10201606899499892,0.2339128404855728,0.09040571004152298
MERT-v1-95M,VGMIDITVar-multisf,2,2,0.10988395661115646,0.24973370134830475,0.09742534905672072
MERT-v1-95M,VGMIDITVar-multisf,3,3,0.1166500598192215,0.2626970708370209,0.10170920938253404
MERT-v1-95M,VGMIDITVar-multisf,4,4,0.11762665212154388,0.26380202174186707,0.10312067717313766
MERT-v1-95M,VGMIDITVar-multisf,5,5,0.118218295276165,0.2636154294013977,0.1027069240808487
MERT-v1-95M,VGMIDITVar-multisf,6,6,0.11821965128183363,0.26323020458221436,0.10314131528139114
MERT-v1-95M,VGMIDITVar-multisf,7,7,0.11870625615119934,0.26366081833839417,0.10321225225925446
MERT-v1-95M,VGMIDITVar-multisf,8,8,0.11780865490436554,0.2626371681690216,0.10268314927816392
MERT-v1-95M,VGMIDITVar-multisf,9,9,0.11840305477380753,0.26326611638069153,0.10328662395477296
MERT-v1-95M,VGMIDITVar-multisf,10,10,0.11900188028812408,0.2644490599632263,0.10270979255437852
MERT-v1-95M,VGMIDITVar-multisf,11,11,0.12117814272642136,0.26798751950263977,0.10571429133415222
MERT-v1-95M,VGMIDITVar-multisf,12,12,0.1194496899843216,0.2643674314022064,0.10356422513723372
MERT-v1-95M,VGMIDITVar-leitmotif,meanall,-1,0.003673959756270051,0.0105902636423707,0.000605690642260015
MERT-v1-95M,VGMIDITVar-leitmotif,0,0,0.001987593714147806,0.0059814597479999065,0.00032005031243897974
MERT-v1-95M,VGMIDITVar-leitmotif,1,1,0.0018617596942931416,0.006226834375411272,0.0003738854138646275
MERT-v1-95M,VGMIDITVar-leitmotif,2,2,0.0021724679972976446,0.007191609591245651,0.0004399304743856192
MERT-v1-95M,VGMIDITVar-leitmotif,3,3,0.002971385372802615,0.009206652641296388,0.000651015667244792
MERT-v1-95M,VGMIDITVar-leitmotif,4,4,0.0033882500138133764,0.010214724577963352,0.0008057683007791638
MERT-v1-95M,VGMIDITVar-leitmotif,5,5,0.00392403407022357,0.011329060420393944,0.0008937359089031816
MERT-v1-95M,VGMIDITVar-leitmotif,6,6,0.003538084914907813,0.010178188793361189,0.0007274207309819758
MERT-v1-95M,VGMIDITVar-leitmotif,7,7,0.003978556487709284,0.011221162043511868,0.000770710816141218
MERT-v1-95M,VGMIDITVar-leitmotif,8,8,0.004010502249002457,0.01114161778241396,0.0006484257173724473
MERT-v1-95M,VGMIDITVar-leitmotif,9,9,0.004471521824598312,0.012242830358445644,0.0007610907196067274
MERT-v1-95M,VGMIDITVar-leitmotif,10,10,0.005342104472219944,0.01420367881655693,0.0006445406470447779
MERT-v1-95M,VGMIDITVar-leitmotif,11,11,0.006933009717613459,0.01793905720114708,0.0009261109516955912
