encoder,layer,rpa_mean,rpa_sd,n_folds,protocol
MuQ,0,0.6169,0.0426,5,single-head
MuQ,1,0.6553,0.0397,5,single-head
MuQ,2,0.6454,0.0429,5,single-head
MuQ,3,0.6158,0.0471,5,single-head
MuQ,4,0.5909,0.0489,5,single-head
MuQ,5,0.5685,0.0489,5,single-head
MuQ,6,0.5555,0.0451,5,single-head
MuQ,7,0.5363,0.0475,5,single-head
MuQ,8,0.5191,0.0449,5,single-head
MuQ,9,0.5300,0.0398,5,single-head
MuQ,10,0.5476,0.0391,5,single-head
MuQ,11,0.5578,0.0389,5,single-head
MuQ,12,0.5661,0.0395,5,single-head
MERT-v1-95M,0,0.5365,0.0453,5,multi-head
MERT-v1-95M,1,0.5529,0.0426,5,multi-head
MERT-v1-95M,2,0.5635,0.0402,5,multi-head
MERT-v1-95M,3,0.5616,0.0412,5,multi-head
MERT-v1-95M,4,0.5775,0.0413,5,multi-head
MERT-v1-95M,5,0.5888,0.0446,5,multi-head
MERT-v1-95M,6,0.5849,0.0453,5,multi-head
MERT-v1-95M,7,0.5830,0.0454,5,multi-head
MERT-v1-95M,8,0.6012,0.0451,5,multi-head
MERT-v1-95M,9,0.6061,0.0434,5,multi-head
MERT-v1-95M,10,0.6051,0.0470,5,multi-head
MERT-v1-95M,11,0.5885,0.0477,5,multi-head
MERT-v1-95M,12,0.5627,0.0455,5,multi-head
MERT-v1-95M,meanall,0.6079,0.0441,5,multi-head
OMARRQ-multifeature-25hz,0,0.5694,0.0433,5,multi-head
OMARRQ-multifeature-25hz,1,0.6007,0.0490,5,multi-head
OMARRQ-multifeature-25hz,2,0.6026,0.0502,5,multi-head
OMARRQ-multifeature-25hz,3,0.6029,0.0506,5,multi-head
OMARRQ-multifeature-25hz,4,0.6169,0.0548,5,multi-head
OMARRQ-multifeature-25hz,5,0.6206,0.0549,5,multi-head
OMARRQ-multifeature-25hz,6,0.6108,0.0564,5,multi-head
OMARRQ-multifeature-25hz,7,0.6030,0.0507,5,multi-head
OMARRQ-multifeature-25hz,8,0.5917,0.0494,5,multi-head
OMARRQ-multifeature-25hz,9,0.5802,0.0482,5,multi-head
OMARRQ-multifeature-25hz,10,0.5682,0.0453,5,multi-head
OMARRQ-multifeature-25hz,11,0.5637,0.0402,5,multi-head
OMARRQ-multifeature-25hz,12,0.5687,0.0410,5,multi-head
OMARRQ-multifeature-25hz,13,0.5766,0.0479,5,multi-head
OMARRQ-multifeature-25hz,14,0.5776,0.0446,5,multi-head
OMARRQ-multifeature-25hz,15,0.5855,0.0480,5,multi-head
OMARRQ-multifeature-25hz,16,0.5862,0.0490,5,multi-head
OMARRQ-multifeature-25hz,17,0.5951,0.0528,5,multi-head
OMARRQ-multifeature-25hz,18,0.5996,0.0521,5,multi-head
OMARRQ-multifeature-25hz,19,0.5920,0.0501,5,multi-head
OMARRQ-multifeature-25hz,20,0.5856,0.0538,5,multi-head
OMARRQ-multifeature-25hz,21,0.5896,0.0548,5,multi-head
OMARRQ-multifeature-25hz,22,0.5849,0.0488,5,multi-head
OMARRQ-multifeature-25hz,23,0.5739,0.0473,5,multi-head
OMARRQ-multifeature-25hz,meanall,0.6198,0.0521,5,multi-head
