encoder,layer,gate
MuQ,0,0.11103
MuQ,1,0.11780
MuQ,2,0.11911
MuQ,3,0.09577
MuQ,4,0.06062
MuQ,5,0.05959
MuQ,6,0.05950
MuQ,7,0.06030
MuQ,8,0.06080
MuQ,9,0.06011
MuQ,10,0.06135
MuQ,11,0.06465
MuQ,12,0.06936
MERT-v1-95M,0,0.05088
MERT-v1-95M,1,0.05577
MERT-v1-95M,2,0.06530
MERT-v1-95M,3,0.05764
MERT-v1-95M,4,0.07428
MERT-v1-95M,5,0.08242
MERT-v1-95M,6,0.07466
MERT-v1-95M,7,0.07584
MERT-v1-95M,8,0.10089
MERT-v1-95M,9,0.10013
MERT-v1-95M,10,0.10945
MERT-v1-95M,11,0.08935
MERT-v1-95M,12,0.06337
OMARRQ-multifeature-25hz,0,0.03393
OMARRQ-multifeature-25hz,1,0.05041
OMARRQ-multifeature-25hz,2,0.05336
OMARRQ-multifeature-25hz,3,0.05127
OMARRQ-multifeature-25hz,4,0.04770
OMARRQ-multifeature-25hz,5,0.03588
OMARRQ-multifeature-25hz,6,0.02733
OMARRQ-multifeature-25hz,7,0.02781
OMARRQ-multifeature-25hz,8,0.02724
OMARRQ-multifeature-25hz,9,0.02827
OMARRQ-multifeature-25hz,10,0.02842
OMARRQ-multifeature-25hz,11,0.02836
OMARRQ-multifeature-25hz,12,0.02830
OMARRQ-multifeature-25hz,13,0.02983
OMARRQ-multifeature-25hz,14,0.03812
OMARRQ-multifeature-25hz,15,0.05437
OMARRQ-multifeature-25hz,16,0.05581
OMARRQ-multifeature-25hz,17,0.05572
OMARRQ-multifeature-25hz,18,0.05519
OMARRQ-multifeature-25hz,19,0.04118
OMARRQ-multifeature-25hz,20,0.05140
OMARRQ-multifeature-25hz,21,0.04747
OMARRQ-multifeature-25hz,22,0.04698
OMARRQ-multifeature-25hz,23,0.05562
