
=== CLaMP3 ===
 layer   diag    off     gap  map_raw  map_centered  recall@10  median_rank  r_precision  mean_vec_norm  effective_rank
     0 0.2658 0.2236  0.0422   0.0379        0.0419     0.0534            5       0.0715         0.9142         46.3980
     1 0.2759 0.2612  0.0147   0.0387        0.0426     0.0555            4       0.0736         0.8454         56.2750
     2 0.2836 0.2893 -0.0057   0.0404        0.0438     0.0577            4       0.0767         0.8125         61.0518
     3 0.2876 0.2965 -0.0090   0.0403        0.0434     0.0586            4       0.0775         0.8342         61.6609
     4 0.2902 0.2968 -0.0065   0.0416        0.0445     0.0602            4       0.0800         0.8480         61.0113
     5 0.2906 0.2864  0.0041   0.0419        0.0446     0.0611            4       0.0813         0.8478         58.1110
     6 0.2887 0.2645  0.0242   0.0401        0.0428     0.0600            4       0.0795         0.8642         54.7290
     7 0.2850 0.2344  0.0506   0.0386        0.0408     0.0590            4       0.0779         0.8674         51.1101
     8 0.2809 0.2104  0.0705   0.0374        0.0394     0.0581            4       0.0767         0.8611         48.6082
     9 0.2764 0.1914  0.0850   0.0364        0.0383     0.0573            4       0.0754         0.8619         46.6184
    10 0.2718 0.1696  0.1023   0.0350        0.0369     0.0559            4       0.0733         0.8560         44.7512
    11 0.2693 0.1591  0.1102   0.0345        0.0364     0.0553            4       0.0727         0.8544         44.9274
    12 0.2691 0.1572  0.1119   0.0345        0.0365     0.0550            4       0.0723         0.8563         47.2699

=== MERT-v1-95M ===
 layer   diag    off    gap  map_raw  map_centered  recall@10  median_rank  r_precision  mean_vec_norm  effective_rank
     0 0.2039 0.0758 0.1281   0.0231        0.0245     0.0381            7       0.0495         0.9411         22.7647
     1 0.2229 0.0912 0.1317   0.0245        0.0262     0.0410            6       0.0527         0.9162         31.2444
     2 0.2492 0.1294 0.1198   0.0282        0.0303     0.0462            5       0.0594         0.9079         38.8823
     3 0.2701 0.1861 0.0840   0.0329        0.0360     0.0514            5       0.0670         0.9062         52.7122
     4 0.2711 0.2132 0.0579   0.0346        0.0382     0.0526            4       0.0689         0.9055         55.6684
     5 0.2702 0.2383 0.0320   0.0384        0.0429     0.0554            4       0.0737         0.9082         62.3827
     6 0.2699 0.2352 0.0347   0.0389        0.0433     0.0561            4       0.0747         0.9128         64.3733
     7 0.2675 0.2210 0.0464   0.0404        0.0446     0.0577            4       0.0775         0.9115         64.1903
     8 0.2656 0.2182 0.0475   0.0402        0.0435     0.0570            4       0.0767         0.9173         62.4144
     9 0.2674 0.2289 0.0386   0.0442        0.0471     0.0604            4       0.0825         0.9137         62.2323
    10 0.2681 0.2425 0.0256   0.0488        0.0518     0.0635            4       0.0883         0.9116         64.3636
    11 0.2740 0.2719 0.0021   0.0574        0.0621     0.0704            4       0.1001         0.8902         76.3988
    12 0.2681 0.2511 0.0170   0.0637        0.0683     0.0757            4       0.1089         0.9239         76.4887

=== MuQ ===
 layer   diag    off     gap  map_raw  map_centered  recall@10  median_rank  r_precision  mean_vec_norm  effective_rank
     0 0.2701 0.1438  0.1263   0.0253        0.0262     0.0455            5       0.0566         0.8088         30.4158
     1 0.2789 0.2677  0.0112   0.0299        0.0318     0.0494            4       0.0629         0.7588         43.7419
     2 0.2909 0.3162 -0.0252   0.0313        0.0334     0.0517            4       0.0658         0.7599         55.8233
     3 0.2963 0.3293 -0.0329   0.0332        0.0359     0.0541            4       0.0695         0.7953         62.1067
     4 0.3003 0.3481 -0.0478   0.0385        0.0421     0.0588            4       0.0773         0.7943         62.7010
     5 0.3005 0.3540 -0.0535   0.0425        0.0470     0.0621            4       0.0831         0.8050         61.7405
     6 0.3034 0.3721 -0.0687   0.0481        0.0528     0.0672            4       0.0914         0.7829         62.6774
     7 0.3240 0.4412 -0.1172   0.0705        0.0773     0.0854            4       0.1217         0.7940         68.2297
     8 0.3241 0.4559 -0.1318   0.0822        0.0889     0.0950            3       0.1372         0.7966         71.4736
     9 0.3168 0.4622 -0.1454   0.0960        0.1034     0.1078            3       0.1568         0.8209         74.6975
    10 0.3024 0.4740 -0.1715   0.1283        0.1365     0.1339            3       0.1949         0.8451         81.1755
    11 0.2899 0.4768 -0.1869   0.1697        0.1777     0.1627            3       0.2370         0.8762         78.5045
    12 0.2692 0.4433 -0.1741   0.1812        0.1856     0.1712            3       0.2472         0.7762         69.7163

=== OMARRQ-25hz ===
 layer   diag    off     gap  map_raw  map_centered  recall@10  median_rank  r_precision  mean_vec_norm  effective_rank
     0 0.2275 0.1408  0.0867   0.0354        0.0379     0.0506            5       0.0686         0.7867         27.4502
     1 0.2579 0.2429  0.0150   0.0446        0.0483     0.0592            4       0.0820         0.7882         38.8062
     2 0.2694 0.2641  0.0053   0.0425        0.0457     0.0578            4       0.0788         0.7943         42.2074
     3 0.2725 0.2535  0.0189   0.0384        0.0411     0.0550            4       0.0736         0.7946         42.2353
     4 0.2695 0.2184  0.0510   0.0345        0.0367     0.0521            5       0.0686         0.8029         37.0566
     5 0.2714 0.2200  0.0514   0.0348        0.0372     0.0527            4       0.0694         0.8112         35.0971
     6 0.2731 0.2105  0.0626   0.0335        0.0357     0.0518            4       0.0676         0.8164         33.7560
     7 0.2793 0.2295  0.0498   0.0341        0.0363     0.0526            4       0.0685         0.8103         36.0425
     8 0.2805 0.2313  0.0492   0.0350        0.0373     0.0536            4       0.0701         0.8171         36.0996
     9 0.2843 0.2400  0.0443   0.0369        0.0394     0.0556            4       0.0732         0.8229         37.0475
    10 0.2948 0.2786  0.0162   0.0434        0.0464     0.0618            4       0.0832         0.8227         39.6003
    11 0.3040 0.3187 -0.0147   0.0520        0.0556     0.0686            4       0.0946         0.8232         41.8099
    12 0.3073 0.3372 -0.0299   0.0572        0.0612     0.0728            4       0.1018         0.8149         43.4315
    13 0.3041 0.3332 -0.0291   0.0555        0.0594     0.0724            4       0.1005         0.8112         44.4439
    14 0.3142 0.3792 -0.0651   0.0680        0.0729     0.0812            4       0.1159         0.8046         48.0241
    15 0.3153 0.3885 -0.0732   0.0709        0.0759     0.0831            4       0.1190         0.8032         48.8619
    16 0.3092 0.3670 -0.0578   0.0645        0.0689     0.0795            4       0.1122         0.8069         47.9741
    17 0.3062 0.3402 -0.0340   0.0573        0.0614     0.0740            4       0.1029         0.8089         45.5381
    18 0.3064 0.3316 -0.0251   0.0535        0.0572     0.0711            4       0.0980         0.8104         45.3370
    19 0.3082 0.3194 -0.0112   0.0515        0.0549     0.0692            4       0.0952         0.8107         44.1628
    20 0.3134 0.3204 -0.0070   0.0556        0.0594     0.0713            4       0.1002         0.8056         46.0852
    21 0.3035 0.3161 -0.0125   0.0542        0.0580     0.0700            4       0.0977         0.7909         47.3979
    22 0.2842 0.2647  0.0195   0.0410        0.0434     0.0587            4       0.0783         0.7511         49.6311
    23 0.2658 0.1581  0.1077   0.0317        0.0333     0.0506            5       0.0654         0.7743         40.1550
