query_program,target_program,map,n_queries
0,0,0.315119,12870
0,24,0.476403,12870
0,48,0.168517,12870
0,52,0.118144,12870
0,60,0.314520,12870
0,73,0.223705,12870
0,80,0.290321,12870
0,89,0.127958,12870
24,0,0.450441,12870
24,24,0.310393,12870
24,48,0.250774,12870
24,52,0.146058,12870
24,60,0.406808,12870
24,73,0.333521,12870
24,80,0.306880,12870
24,89,0.148938,12870
48,0,0.277050,12870
48,24,0.363219,12870
48,48,0.293283,12870
48,52,0.410470,12870
48,60,0.427487,12870
48,73,0.401472,12870
48,80,0.349743,12870
48,89,0.301253,12870
52,0,0.202517,12870
52,24,0.276856,12870
52,48,0.442089,12870
52,52,0.289328,12870
52,60,0.446373,12870
52,73,0.288030,12870
52,80,0.225549,12870
52,89,0.143402,12870
60,0,0.312733,12870
60,24,0.438909,12870
60,48,0.419696,12870
60,52,0.457428,12870
60,60,0.290770,12870
60,73,0.435797,12870
60,80,0.283681,12870
60,89,0.214715,12870
73,0,0.206568,12870
73,24,0.346091,12870
73,48,0.382597,12870
73,52,0.280624,12870
73,60,0.433009,12870
73,73,0.273196,12870
73,80,0.386640,12870
73,89,0.386600,12870
80,0,0.290530,12870
80,24,0.305118,12870
80,48,0.405008,12870
80,52,0.222869,12870
80,60,0.242549,12870
80,73,0.406576,12870
80,80,0.294252,12870
80,89,0.233061,12870
89,0,0.057377,12870
89,24,0.084391,12870
89,48,0.273300,12870
89,52,0.111864,12870
89,60,0.173214,12870
89,73,0.293791,12870
89,80,0.213224,12870
89,89,0.254769,12870
