query_program,target_program,map,n_queries
0,0,0.315119,12870
0,24,0.234668,12870
0,48,0.082934,12870
0,52,0.060063,12870
0,60,0.146139,12870
0,73,0.103823,12870
0,80,0.133760,12870
0,89,0.061854,12870
24,0,0.216282,12870
24,24,0.310393,12870
24,48,0.114325,12870
24,52,0.069469,12870
24,60,0.182609,12870
24,73,0.149289,12870
24,80,0.142702,12870
24,89,0.068219,12870
48,0,0.125521,12870
48,24,0.164102,12870
48,48,0.293283,12870
48,52,0.175916,12870
48,60,0.185798,12870
48,73,0.170172,12870
48,80,0.145908,12870
48,89,0.128515,12870
52,0,0.096742,12870
52,24,0.124478,12870
52,48,0.190435,12870
52,52,0.289328,12870
52,60,0.197818,12870
52,73,0.120563,12870
52,80,0.095750,12870
52,89,0.060212,12870
60,0,0.143255,12870
60,24,0.197159,12870
60,48,0.179472,12870
60,52,0.201334,12870
60,60,0.290770,12870
60,73,0.184344,12870
60,80,0.118088,12870
60,89,0.086909,12870
73,0,0.094988,12870
73,24,0.151685,12870
73,48,0.156604,12870
73,52,0.114592,12870
73,60,0.180304,12870
73,73,0.273196,12870
73,80,0.155556,12870
73,89,0.156889,12870
80,0,0.125888,12870
80,24,0.135290,12870
80,48,0.175357,12870
80,52,0.094723,12870
80,60,0.101539,12870
80,73,0.168548,12870
80,80,0.294252,12870
80,89,0.096352,12870
89,0,0.026128,12870
89,24,0.038383,12870
89,48,0.109535,12870
89,52,0.048452,12870
89,60,0.068118,12870
89,73,0.110911,12870
89,80,0.084382,12870
89,89,0.254769,12870
