layer,within_timbre_diffvar,twin_same_composition_crosstimbre,honest_crosstimbre_diffvar,distractor
0,0.7268,0.4582,0.3060,-0.0314
1,0.7248,0.4349,0.2839,-0.0341
2,0.7263,0.4273,0.2785,-0.0356
3,0.7313,0.4170,0.2732,-0.0375
4,0.7337,0.4155,0.2743,-0.0380
5,0.7398,0.4130,0.2767,-0.0389
6,0.7436,0.3987,0.2666,-0.0409
7,0.7460,0.3845,0.2556,-0.0426
8,0.7465,0.3748,0.2480,-0.0436
9,0.7464,0.3689,0.2435,-0.0441
10,0.7459,0.3598,0.2362,-0.0447
11,0.7442,0.3545,0.2332,-0.0443
12,0.7398,0.3538,0.2338,-0.0431
