layer,map_raw,map_centered,map_whitened,within,cross_conf,gap_conf,cross_varctl,gap_varctl,twin_inflation,sep_cross,sep_cross_varctl,eff_rank
0,0.0379,0.0419,0.1564,0.2658,0.2235,0.0424,0.0937,0.1722,0.1298,0.3904,0.3373,46.4580
1,0.0387,0.0426,0.1662,0.2759,0.2610,0.0150,0.1102,0.1658,0.1508,0.3707,0.3180,56.3114
2,0.0403,0.0437,0.1723,0.2836,0.2891,-0.0055,0.1238,0.1598,0.1653,0.3659,0.3140,61.0725
3,0.0403,0.0434,0.1697,0.2876,0.2965,-0.0089,0.1285,0.1591,0.1680,0.3608,0.3107,61.6869
4,0.0415,0.0445,0.1673,0.2901,0.2967,-0.0066,0.1295,0.1606,0.1672,0.3615,0.3123,61.0269
5,0.0419,0.0446,0.1649,0.2905,0.2864,0.0041,0.1255,0.1650,0.1609,0.3632,0.3156,58.1163
6,0.0401,0.0427,0.1574,0.2886,0.2644,0.0242,0.1155,0.1731,0.1489,0.3535,0.3074,54.7284
7,0.0385,0.0408,0.1496,0.2850,0.2344,0.0506,0.1016,0.1834,0.1327,0.3432,0.2982,51.1087
8,0.0374,0.0394,0.1391,0.2808,0.2104,0.0704,0.0911,0.1897,0.1193,0.3359,0.2916,48.6079
9,0.0364,0.0383,0.1282,0.2763,0.1913,0.0850,0.0830,0.1933,0.1083,0.3313,0.2876,46.6187
10,0.0350,0.0369,0.1197,0.2718,0.1696,0.1022,0.0737,0.1981,0.0959,0.3240,0.2809,44.7511
11,0.0345,0.0364,0.1121,0.2693,0.1591,0.1102,0.0692,0.2001,0.0899,0.3198,0.2775,44.9269
12,0.0345,0.0365,0.1055,0.2691,0.1571,0.1120,0.0686,0.2006,0.0886,0.3187,0.2768,47.2689
meanall,0.0396,0.0422,0.1555,0.2897,0.2699,0.0198,0.1183,0.1714,0.1516,0.3490,0.3025,57.6467
