query_program,target_program,map,n_queries
0,0,0.296820,12870
0,24,0.426539,12870
0,48,0.262695,12870
0,52,0.164556,12870
0,60,0.199473,12870
0,73,0.196218,12870
0,80,0.311141,12870
0,89,0.160520,12870
24,0,0.427893,12870
24,24,0.294740,12870
24,48,0.365834,12870
24,52,0.199346,12870
24,60,0.313754,12870
24,73,0.305073,12870
24,80,0.348173,12870
24,89,0.185714,12870
48,0,0.271848,12870
48,24,0.348213,12870
48,48,0.277083,12870
48,52,0.378664,12870
48,60,0.383475,12870
48,73,0.319323,12870
48,80,0.370046,12870
48,89,0.312652,12870
52,0,0.151227,12870
52,24,0.221267,12870
52,48,0.325179,12870
52,52,0.269273,12870
52,60,0.421553,12870
52,73,0.204425,12870
52,80,0.141909,12870
52,89,0.093639,12870
60,0,0.166167,12870
60,24,0.309619,12870
60,48,0.310195,12870
60,52,0.446271,12870
60,60,0.269993,12870
60,73,0.291963,12870
60,80,0.153408,12870
60,89,0.134531,12870
73,0,0.192434,12870
73,24,0.287877,12870
73,48,0.327933,12870
73,52,0.232125,12870
73,60,0.327764,12870
73,73,0.254651,12870
73,80,0.353896,12870
73,89,0.302046,12870
80,0,0.301266,12870
80,24,0.305821,12870
80,48,0.359881,12870
80,52,0.156365,12870
80,60,0.171518,12870
80,73,0.339710,12870
80,80,0.279019,12870
80,89,0.222262,12870
89,0,0.137499,12870
89,24,0.152146,12870
89,48,0.331541,12870
89,52,0.114762,12870
89,60,0.163787,12870
89,73,0.292914,12870
89,80,0.256750,12870
89,89,0.243143,12870
