query_program,target_program,map,n_queries
0,0,0.296820,12870
0,24,0.192897,12870
0,48,0.118879,12870
0,52,0.073337,12870
0,60,0.087536,12870
0,73,0.083676,12870
0,80,0.134831,12870
0,89,0.074069,12870
24,0,0.194747,12870
24,24,0.294740,12870
24,48,0.163035,12870
24,52,0.085857,12870
24,60,0.131645,12870
24,73,0.134103,12870
24,80,0.152975,12870
24,89,0.081301,12870
48,0,0.117004,12870
48,24,0.150155,12870
48,48,0.277083,12870
48,52,0.153641,12870
48,60,0.156933,12870
48,73,0.129634,12870
48,80,0.153453,12870
48,89,0.129910,12870
52,0,0.068608,12870
52,24,0.093211,12870
52,48,0.129418,12870
52,52,0.269273,12870
52,60,0.175065,12870
52,73,0.082658,12870
52,80,0.059818,12870
52,89,0.041712,12870
60,0,0.075587,12870
60,24,0.128220,12870
60,48,0.125195,12870
60,52,0.186666,12870
60,60,0.269993,12870
60,73,0.118897,12870
60,80,0.065970,12870
60,89,0.056370,12870
73,0,0.082497,12870
73,24,0.121709,12870
73,48,0.132257,12870
73,52,0.093314,12870
73,60,0.130139,12870
73,73,0.254651,12870
73,80,0.144616,12870
73,89,0.118356,12870
80,0,0.126731,12870
80,24,0.132160,12870
80,48,0.156224,12870
80,52,0.069211,12870
80,60,0.074120,12870
80,73,0.140651,12870
80,80,0.279019,12870
80,89,0.095967,12870
89,0,0.059939,12870
89,24,0.064370,12870
89,48,0.133195,12870
89,52,0.047865,12870
89,60,0.065054,12870
89,73,0.111430,12870
89,80,0.102034,12870
89,89,0.243143,12870
