layer,within_timbre_diffvar,twin_same_composition_crosstimbre,honest_crosstimbre_diffvar,distractor
0,0.7336,0.3936,0.2559,-0.0386
1,0.7365,0.3864,0.2569,-0.0386
2,0.7468,0.3957,0.2694,-0.0380
3,0.7340,0.4131,0.2860,-0.0332
4,0.7266,0.4267,0.2908,-0.0320
5,0.7085,0.4364,0.2911,-0.0297
6,0.6991,0.4331,0.2870,-0.0295
7,0.6888,0.4326,0.2871,-0.0281
8,0.6906,0.4411,0.2979,-0.0270
9,0.6902,0.4628,0.3169,-0.0247
10,0.6851,0.4746,0.3240,-0.0228
11,0.6763,0.4733,0.3139,-0.0223
12,0.6709,0.4894,0.3269,-0.0186
