layer,map_raw,map_centered,map_whitened,within,cross_conf,gap_conf,cross_varctl,gap_varctl,twin_inflation,sep_cross,sep_cross_varctl,eff_rank
0,0.0227,0.0241,0.0719,0.2043,0.0746,0.1297,0.0301,0.1742,0.0444,0.3425,0.2945,23.0587
1,0.0243,0.0259,0.0827,0.2230,0.0896,0.1334,0.0373,0.1857,0.0523,0.3407,0.2955,31.2749
2,0.0278,0.0297,0.0916,0.2492,0.1261,0.1231,0.0547,0.1945,0.0714,0.3515,0.3074,38.5437
3,0.0323,0.0352,0.0973,0.2696,0.1819,0.0877,0.0815,0.1881,0.1004,0.3635,0.3192,52.7819
4,0.0339,0.0374,0.1089,0.2706,0.2101,0.0605,0.0913,0.1793,0.1188,0.3701,0.3227,56.0107
5,0.0376,0.0419,0.1234,0.2700,0.2350,0.0350,0.0976,0.1724,0.1373,0.3715,0.3208,62.7075
6,0.0380,0.0421,0.1289,0.2691,0.2311,0.0380,0.0933,0.1758,0.1378,0.3675,0.3165,64.3690
7,0.0396,0.0436,0.1271,0.2663,0.2179,0.0485,0.0880,0.1783,0.1298,0.3660,0.3152,64.0631
8,0.0394,0.0426,0.1284,0.2647,0.2159,0.0488,0.0870,0.1777,0.1289,0.3749,0.3249,62.2400
9,0.0431,0.0459,0.1327,0.2659,0.2247,0.0412,0.0911,0.1748,0.1336,0.3925,0.3416,61.5611
10,0.0473,0.0502,0.1318,0.2667,0.2369,0.0298,0.0977,0.1689,0.1391,0.3993,0.3468,63.4832
11,0.0555,0.0603,0.1305,0.2731,0.2670,0.0061,0.1127,0.1604,0.1544,0.3918,0.3362,76.8774
12,0.0621,0.0667,0.1300,0.2674,0.2463,0.0211,0.1029,0.1645,0.1435,0.4022,0.3455,76.3429
meanall,0.0360,0.0395,0.1385,0.2603,0.2113,0.0490,0.0868,0.1735,0.1245,0.3924,0.3394,47.4229
