query_program,target_program,map,n_queries
0,0,0.336727,12870
0,24,0.527252,12870
0,48,0.453408,12870
0,52,0.398622,12870
0,60,0.476814,12870
0,73,0.450228,12870
0,80,0.406534,12870
0,89,0.292630,12870
24,0,0.535797,12870
24,24,0.333351,12870
24,48,0.486354,12870
24,52,0.460003,12870
24,60,0.549954,12870
24,73,0.546653,12870
24,80,0.476302,12870
24,89,0.339148,12870
48,0,0.500372,12870
48,24,0.523832,12870
48,48,0.324089,12870
48,52,0.551983,12870
48,60,0.550142,12870
48,73,0.533194,12870
48,80,0.394636,12870
48,89,0.496078,12870
52,0,0.458201,12870
52,24,0.518643,12870
52,48,0.561147,12870
52,52,0.326225,12870
52,60,0.543835,12870
52,73,0.533644,12870
52,80,0.396889,12870
52,89,0.447185,12870
60,0,0.478878,12870
60,24,0.560580,12870
60,48,0.541281,12870
60,52,0.537336,12870
60,60,0.328080,12870
60,73,0.566299,12870
60,80,0.435257,12870
60,89,0.387761,12870
73,0,0.433129,12870
73,24,0.552270,12870
73,48,0.523257,12870
73,52,0.528536,12870
73,60,0.561918,12870
73,73,0.328475,12870
73,80,0.499004,12870
73,89,0.450723,12870
80,0,0.356538,12870
80,24,0.470866,12870
80,48,0.344620,12870
80,52,0.326994,12870
80,60,0.382961,12870
80,73,0.490694,12870
80,80,0.317717,12870
80,89,0.191079,12870
89,0,0.190800,12870
89,24,0.306723,12870
89,48,0.455994,12870
89,52,0.402908,12870
89,60,0.353639,12870
89,73,0.443252,12870
89,80,0.243676,12870
89,89,0.294129,12870
