layer,within_timbre_diffvar,twin_same_composition_crosstimbre,honest_crosstimbre_diffvar,distractor
0,0.8072,0.3523,0.2384,-0.0507
1,0.7829,0.3963,0.2604,-0.0478
2,0.7745,0.3826,0.2491,-0.0470
3,0.7661,0.3804,0.2472,-0.0450
4,0.7581,0.4083,0.2684,-0.0413
5,0.7506,0.4255,0.2786,-0.0394
6,0.7450,0.4433,0.2906,-0.0376
7,0.7592,0.4929,0.3472,-0.0340
8,0.7491,0.5133,0.3589,-0.0318
9,0.7271,0.5286,0.3544,-0.0302
10,0.7013,0.5694,0.3685,-0.0265
11,0.6883,0.6225,0.4013,-0.0224
12,0.6622,0.6328,0.3885,-0.0208
