query_program,target_program,map,n_queries
0,0,0.329130,12870
0,24,0.490654,12870
0,48,0.290727,12870
0,52,0.217844,12870
0,60,0.346124,12870
0,73,0.327127,12870
0,80,0.387344,12870
0,89,0.243924,12870
24,0,0.486070,12870
24,24,0.325526,12870
24,48,0.381422,12870
24,52,0.216651,12870
24,60,0.424293,12870
24,73,0.425882,12870
24,80,0.373760,12870
24,89,0.237585,12870
48,0,0.367262,12870
48,24,0.445118,12870
48,48,0.318990,12870
48,52,0.535225,12870
48,60,0.513936,12870
48,73,0.510947,12870
48,80,0.454909,12870
48,89,0.385450,12870
52,0,0.375598,12870
52,24,0.324775,12870
52,48,0.530101,12870
52,52,0.315933,12870
52,60,0.537035,12870
52,73,0.463839,12870
52,80,0.273893,12870
52,89,0.202329,12870
60,0,0.453498,12870
60,24,0.446929,12870
60,48,0.513412,12870
60,52,0.541191,12870
60,60,0.321057,12870
60,73,0.523297,12870
60,80,0.337368,12870
60,89,0.287668,12870
73,0,0.342501,12870
73,24,0.402641,12870
73,48,0.452425,12870
73,52,0.452262,12870
73,60,0.506643,12870
73,73,0.313095,12870
73,80,0.510325,12870
73,89,0.439911,12870
80,0,0.450924,12870
80,24,0.367096,12870
80,48,0.491668,12870
80,52,0.282390,12870
80,60,0.311235,12870
80,73,0.517812,12870
80,80,0.313815,12870
80,89,0.404524,12870
89,0,0.145894,12870
89,24,0.175853,12870
89,48,0.323426,12870
89,52,0.207652,12870
89,60,0.256261,12870
89,73,0.414815,12870
89,80,0.390209,12870
89,89,0.274208,12870
