query_program,target_program,map,n_queries
0,0,0.329130,12870
0,24,0.250322,12870
0,48,0.135564,12870
0,52,0.103960,12870
0,60,0.164911,12870
0,73,0.156061,12870
0,80,0.185477,12870
0,89,0.119459,12870
24,0,0.245500,12870
24,24,0.325526,12870
24,48,0.186958,12870
24,52,0.105933,12870
24,60,0.202724,12870
24,73,0.208676,12870
24,80,0.183110,12870
24,89,0.113488,12870
48,0,0.177127,12870
48,24,0.217003,12870
48,48,0.318990,12870
48,52,0.277166,12870
48,60,0.263858,12870
48,73,0.261422,12870
48,80,0.217521,12870
48,89,0.180127,12870
52,0,0.184502,12870
52,24,0.151571,12870
52,48,0.266287,12870
52,52,0.315933,12870
52,60,0.275977,12870
52,73,0.225886,12870
52,80,0.127351,12870
52,89,0.092523,12870
60,0,0.226880,12870
60,24,0.212062,12870
60,48,0.259473,12870
60,52,0.283559,12870
60,60,0.321057,12870
60,73,0.262241,12870
60,80,0.156399,12870
60,89,0.134515,12870
73,0,0.166318,12870
73,24,0.192038,12870
73,48,0.215187,12870
73,52,0.216503,12870
73,60,0.247428,12870
73,73,0.313095,12870
73,80,0.247593,12870
73,89,0.209848,12870
80,0,0.220318,12870
80,24,0.171798,12870
80,48,0.244736,12870
80,52,0.134739,12870
80,60,0.142661,12870
80,73,0.256919,12870
80,80,0.313815,12870
80,89,0.191266,12870
89,0,0.067177,12870
89,24,0.079700,12870
89,48,0.143719,12870
89,52,0.094663,12870
89,60,0.114867,12870
89,73,0.189310,12870
89,80,0.175343,12870
89,89,0.274208,12870
