layer,within_timbre_diffvar,twin_same_composition_crosstimbre,honest_crosstimbre_diffvar,distractor
0,0.7391,0.4786,0.3193,-0.0323
1,0.7402,0.5105,0.3444,-0.0304
2,0.7504,0.4919,0.3327,-0.0332
3,0.7564,0.4687,0.3156,-0.0358
4,0.7645,0.4471,0.2993,-0.0392
5,0.7678,0.4524,0.3051,-0.0392
6,0.7723,0.4427,0.2989,-0.0406
7,0.7744,0.4393,0.2972,-0.0416
8,0.7739,0.4415,0.2993,-0.0413
9,0.7717,0.4508,0.3077,-0.0400
10,0.7727,0.4734,0.3296,-0.0378
11,0.7790,0.4996,0.3590,-0.0358
12,0.7781,0.5113,0.3689,-0.0349
13,0.7667,0.4988,0.3484,-0.0359
14,0.7745,0.5295,0.3832,-0.0336
15,0.7731,0.5374,0.3900,-0.0327
16,0.7633,0.5199,0.3661,-0.0340
17,0.7667,0.5038,0.3532,-0.0358
18,0.7691,0.4938,0.3461,-0.0367
19,0.7783,0.4883,0.3480,-0.0374
20,0.7886,0.4900,0.3595,-0.0370
21,0.7711,0.4911,0.3479,-0.0351
22,0.7526,0.4507,0.3010,-0.0370
23,0.7549,0.3878,0.2476,-0.0425
