layer,map_raw,map_centered,map_whitened,within,cross_conf,gap_conf,cross_varctl,gap_varctl,twin_inflation,sep_cross,sep_cross_varctl,eff_rank
0,0.0352,0.0378,0.0874,0.2268,0.1401,0.0867,0.0579,0.1688,0.0822,0.4071,0.3516,27.1219
1,0.0446,0.0481,0.1418,0.2570,0.2423,0.0146,0.1015,0.1555,0.1408,0.4328,0.3748,38.4590
2,0.0424,0.0456,0.1727,0.2684,0.2639,0.0045,0.1131,0.1553,0.1507,0.4214,0.3658,41.9752
3,0.0384,0.0410,0.1820,0.2716,0.2537,0.0179,0.1091,0.1626,0.1447,0.4048,0.3514,42.1292
4,0.0344,0.0366,0.1926,0.2685,0.2184,0.0502,0.0935,0.1751,0.1249,0.3900,0.3385,36.9779
5,0.0347,0.0370,0.2094,0.2704,0.2197,0.0507,0.0952,0.1751,0.1245,0.3957,0.3443,34.9852
6,0.0333,0.0355,0.2281,0.2722,0.2101,0.0621,0.0910,0.1812,0.1191,0.3897,0.3396,33.5907
7,0.0340,0.0361,0.2301,0.2781,0.2290,0.0491,0.0995,0.1785,0.1295,0.3884,0.3388,35.9190
8,0.0348,0.0371,0.2264,0.2793,0.2305,0.0488,0.1008,0.1786,0.1298,0.3902,0.3406,35.9172
9,0.0368,0.0392,0.2560,0.2833,0.2392,0.0441,0.1044,0.1789,0.1348,0.3976,0.3477,36.7620
10,0.0432,0.0461,0.2868,0.2936,0.2777,0.0159,0.1264,0.1672,0.1513,0.4176,0.3675,39.2712
11,0.0515,0.0551,0.3120,0.3026,0.3173,-0.0147,0.1516,0.1510,0.1657,0.4438,0.3948,41.5035
12,0.0568,0.0608,0.3355,0.3060,0.3361,-0.0301,0.1613,0.1447,0.1748,0.4535,0.4038,43.1706
13,0.0552,0.0590,0.3501,0.3029,0.3325,-0.0296,0.1540,0.1489,0.1786,0.4368,0.3843,44.1973
14,0.0677,0.0725,0.3585,0.3129,0.3788,-0.0659,0.1839,0.1289,0.1948,0.4678,0.4168,47.8411
15,0.0705,0.0755,0.3714,0.3140,0.3879,-0.0739,0.1882,0.1258,0.1997,0.4741,0.4227,48.6165
16,0.0643,0.0687,0.3812,0.3080,0.3671,-0.0591,0.1711,0.1370,0.1961,0.4538,0.4001,47.7791
17,0.0571,0.0612,0.3801,0.3054,0.3402,-0.0348,0.1571,0.1483,0.1831,0.4415,0.3890,45.3938
18,0.0534,0.0571,0.3715,0.3055,0.3316,-0.0262,0.1540,0.1515,0.1777,0.4343,0.3828,45.1695
19,0.0514,0.0548,0.3615,0.3072,0.3195,-0.0122,0.1524,0.1549,0.1671,0.4343,0.3854,44.0257
20,0.0556,0.0593,0.3448,0.3122,0.3212,-0.0090,0.1631,0.1491,0.1581,0.4420,0.3964,46.0376
21,0.0541,0.0579,0.3179,0.3024,0.3168,-0.0144,0.1540,0.1485,0.1628,0.4329,0.3829,47.2771
22,0.0409,0.0432,0.2547,0.2830,0.2645,0.0184,0.1166,0.1664,0.1480,0.3902,0.3381,49.4158
23,0.0316,0.0332,0.2295,0.2650,0.1584,0.1065,0.0676,0.1974,0.0908,0.3390,0.2901,40.2316
meanall,0.0396,0.0424,0.3178,0.2741,0.2391,0.0350,0.1053,0.1688,0.1338,0.4080,0.3543,34.9438
