encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
CLaMP3,CLaMP3,VGMIDITVar-timbre__ad67b983,VGMIDITVar-timbre,5,102960,8,0.033802807331085205,2.0063323518115794e-06,16848.059744719565,59.196815490722656,raw,0.04190112006758777,0.06108347152994053,0.08132841167768873,4.0,nan,nan,nan,0.8477790951728821,58.110976173667474,0.1232701763510704,0.7184625267982483,66.23727030000009
CLaMP3,CLaMP3,VGMIDITVar-timbre__ad67b983,VGMIDITVar-timbre,5,102960,8,0.033802807331085205,2.0063323518115794e-06,16848.059744719565,59.196815490722656,centered,0.04458627805483925,0.06260608239093957,0.08414264860946147,4.0,nan,nan,nan,0.019023535773158073,58.42421397656958,0.12245474755764008,3.4541844797786325e-05,64.75025559999631
CLaMP3,CLaMP3,VGMIDITVar-timbre__ad67b983,VGMIDITVar-timbre,5,102960,8,0.033802807331085205,2.0063323518115794e-06,16848.059744719565,59.196815490722656,abtt-1,0.06392926299596165,0.07197090803307973,0.10281344269459855,4.0,nan,nan,nan,0.015228353440761566,68.11010607929218,0.08206076174974442,-0.00047262554289773107,68.77090170000156
CLaMP3,CLaMP3,VGMIDITVar-timbre__ad67b983,VGMIDITVar-timbre,5,102960,8,0.033802807331085205,2.0063323518115794e-06,16848.059744719565,59.196815490722656,abtt-3,0.08004067683198711,0.08238282626953913,0.12174025645677475,4.0,nan,nan,nan,0.013276569545269012,78.90993301447499,0.07178964465856552,-0.0025309741031378508,66.69969989999663
CLaMP3,CLaMP3,VGMIDITVar-timbre__ad67b983,VGMIDITVar-timbre,5,102960,8,0.033802807331085205,2.0063323518115794e-06,16848.059744719565,59.196815490722656,abtt-10,0.11543154488033372,0.11081057231919948,0.16895499848435028,3.0,nan,nan,nan,0.014473711140453815,113.4280536006959,0.048521339893341064,-0.0017346027307212353,68.97748760000104
CLaMP3,CLaMP3,VGMIDITVar-timbre__ad67b983,VGMIDITVar-timbre,5,102960,8,0.033802807331085205,2.0063323518115794e-06,16848.059744719565,59.196815490722656,whiten-a0.5,0.10205780499303757,0.10638779714823322,0.15721186036808474,3.0,nan,nan,nan,0.011681819334626198,325.3956443214263,0.02989766001701355,-0.00014835876936558634,65.50768419999804
CLaMP3,CLaMP3,VGMIDITVar-timbre__ad67b983,VGMIDITVar-timbre,5,102960,8,0.033802807331085205,2.0063323518115794e-06,16848.059744719565,59.196815490722656,whiten-a0.7,0.13707356827794934,0.1335678569044268,0.20101339213887306,3.0,nan,nan,nan,0.00892422441393137,546.23254736199,0.011345997452735901,2.5690031179692596e-05,75.05029689999355
CLaMP3,CLaMP3,VGMIDITVar-timbre__ad67b983,VGMIDITVar-timbre,5,102960,8,0.033802807331085205,2.0063323518115794e-06,16848.059744719565,59.196815490722656,whiten-a1.0,0.1651269690347489,0.15739266236912222,0.23752124876344016,3.0,nan,nan,nan,0.005014697555452585,696.5995875479448,0.0028781192377209663,0.00020459234656300396,65.4690077000123
CLaMP3,CLaMP3,VGMIDITVar-timbre__ad67b983,VGMIDITVar-timbre,5,102960,8,0.033802807331085205,2.0063323518115794e-06,16848.059744719565,59.196815490722656,whiten-a1.0-erel-1e-3,0.14652851771390024,0.13967074355428566,0.2116066305402257,3.0,nan,nan,nan,0.007209520787000656,533.5238755047479,0.004908079747110605,0.00010152993490919471,74.90764419999323
CLaMP3,CLaMP3,VGMIDITVar-timbre__ad67b983,VGMIDITVar-timbre,5,102960,8,0.033802807331085205,2.0063323518115794e-06,16848.059744719565,59.196815490722656,whiten-a1.0-erel-1e-2,0.12521135792771954,0.12021284543302362,0.18231965962901608,3.0,nan,nan,nan,0.010157318785786629,301.5923902568233,0.010658101178705692,-0.00020298392337281257,65.65772679999645
