encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,fit_mode,n_fit,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
CLaMP3,CLaMP3,Covers80__482b80fc,Covers80,4,160,0,transductive,160,0.03982038423418999,3.0735540349269286e-05,1295.5810693966434,52.364620208740234,raw,0.23502328959002625,0.4,0.1625,19.0,nan,nan,nan,0.792603611946106,52.36464697315174,0.10710752010345459,0.6259586811065674,0.030956300000980264
CLaMP3,CLaMP3,Covers80__482b80fc,Covers80,4,160,0,transductive,160,0.03982038423418999,3.0735540349269286e-05,1295.5810693966434,52.364620208740234,centered,0.2531440569553524,0.41875,0.175,18.0,nan,nan,nan,0.024653002619743347,53.57459856869075,0.10123107582330704,-0.007147583179175854,0.02356820000204607
CLaMP3,CLaMP3,Covers80__482b80fc,Covers80,4,160,0,transductive,160,0.03982038423418999,3.0735540349269286e-05,1295.5810693966434,52.364620208740234,abtt-1,0.23531724327185657,0.35,0.16875,19.0,nan,nan,nan,0.015855778008699417,58.32990443983535,0.07049649953842163,-0.006553044077008963,0.024457499999698484
CLaMP3,CLaMP3,Covers80__482b80fc,Covers80,4,160,0,transductive,160,0.03982038423418999,3.0735540349269286e-05,1295.5810693966434,52.364620208740234,abtt-3,0.22933443292567973,0.38125,0.16875,21.5,nan,nan,nan,0.012259134091436863,61.66973365448594,0.06360360980033875,-0.008247640915215015,0.02495460000136518
CLaMP3,CLaMP3,Covers80__482b80fc,Covers80,4,160,0,transductive,160,0.03982038423418999,3.0735540349269286e-05,1295.5810693966434,52.364620208740234,abtt-10,0.18921767214196733,0.3,0.125,27.0,nan,nan,nan,0.009299900382757187,70.68292167864352,0.047735996544361115,-0.00594119168817997,0.025298300002759788
CLaMP3,CLaMP3,Covers80__482b80fc,Covers80,4,160,0,transductive,160,0.03982038423418999,3.0735540349269286e-05,1295.5810693966434,52.364620208740234,abtt-30,0.11712790853052865,0.16875,0.08125,68.0,nan,nan,nan,0.007714124396443367,76.32088571745489,0.036104150116443634,-0.005886627361178398,0.026473000001715263
CLaMP3,CLaMP3,Covers80__482b80fc,Covers80,4,160,0,transductive,160,0.03982038423418999,3.0735540349269286e-05,1295.5810693966434,52.364620208740234,whiten-a0.2,0.2641475602809805,0.425,0.18125,16.0,nan,nan,nan,0.018820753321051598,72.89253301966045,0.07131968438625336,-0.007193399593234062,0.025028800002473872
CLaMP3,CLaMP3,Covers80__482b80fc,Covers80,4,160,0,transductive,160,0.03982038423418999,3.0735540349269286e-05,1295.5810693966434,52.364620208740234,whiten-a0.3,0.2711831209482625,0.43125,0.1875,15.0,nan,nan,nan,0.015957489609718323,84.98212894109201,0.05802490562200546,-0.0071721505373716354,0.024469200001476565
CLaMP3,CLaMP3,Covers80__482b80fc,Covers80,4,160,0,transductive,160,0.03982038423418999,3.0735540349269286e-05,1295.5810693966434,52.364620208740234,whiten-a0.4,0.279029460271704,0.4375,0.19375,15.0,nan,nan,nan,0.013165595941245556,98.4988600762139,0.04607340320944786,-0.00712222745642066,0.026765599999635015
CLaMP3,CLaMP3,Covers80__482b80fc,Covers80,4,160,0,transductive,160,0.03982038423418999,3.0735540349269286e-05,1295.5810693966434,52.364620208740234,whiten-a0.5,0.27314441767230163,0.44375,0.18125,14.0,nan,nan,nan,0.01048031635582447,112.89348022074634,0.03561507165431976,-0.0070443847216665745,0.025504299999738578
