encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
MuQ,OpenMuQ/MuQ-large-msd-iter,VGMIDITVar-timbre__005f6eeb,VGMIDITVar-timbre,8,102960,8,0.04016290232539177,3.2314473319416948e-09,12428765.874781843,72.38662719726562,raw,0.08222371303630062,0.09499866609273822,0.13721824491764878,3.0,nan,nan,nan,0.7965682148933411,71.47359761437842,0.10590998083353043,0.6345032453536987,79.59055259999877
MuQ,OpenMuQ/MuQ-large-msd-iter,VGMIDITVar-timbre__005f6eeb,VGMIDITVar-timbre,8,102960,8,0.04016290232539177,3.2314473319416948e-09,12428765.874781843,72.38662719726562,centered,0.08893299966994779,0.09781270558141149,0.1431637665516644,3.0,nan,nan,nan,0.012918716296553612,71.89313761079785,0.10393240302801132,0.001123567926697433,73.57549059999292
MuQ,OpenMuQ/MuQ-large-msd-iter,VGMIDITVar-timbre__005f6eeb,VGMIDITVar-timbre,8,102960,8,0.04016290232539177,3.2314473319416948e-09,12428765.874781843,72.38662719726562,abtt-1,0.09408767891923582,0.10102334239651473,0.1495532920923469,3.0,nan,nan,nan,0.012897408567368984,82.26803871427695,0.09740716964006424,0.0007350158412009478,74.837635399992
MuQ,OpenMuQ/MuQ-large-msd-iter,VGMIDITVar-timbre__005f6eeb,VGMIDITVar-timbre,8,102960,8,0.04016290232539177,3.2314473319416948e-09,12428765.874781843,72.38662719726562,abtt-3,0.18272188692214367,0.14939236170648457,0.23897430425683122,3.0,nan,nan,nan,0.012347160838544369,97.59300087520845,0.060888200998306274,-0.0003064727643504739,69.512730500006
MuQ,OpenMuQ/MuQ-large-msd-iter,VGMIDITVar-timbre__005f6eeb,VGMIDITVar-timbre,8,102960,8,0.04016290232539177,3.2314473319416948e-09,12428765.874781843,72.38662719726562,abtt-10,0.258444440666449,0.1953448845917524,0.31398483320516,3.0,nan,nan,nan,0.011837263591587543,122.83629422440254,0.03596565127372742,-0.0010439865291118622,74.8890412000037
MuQ,OpenMuQ/MuQ-large-msd-iter,VGMIDITVar-timbre__005f6eeb,VGMIDITVar-timbre,8,102960,8,0.04016290232539177,3.2314473319416948e-09,12428765.874781843,72.38662719726562,whiten-a0.5,0.25892855129996056,0.2022219945669931,0.31894769090290737,3.0,nan,nan,nan,0.00930528063327074,389.5681338268555,0.024198653176426888,-4.293210440664552e-05,70.03330940000887
MuQ,OpenMuQ/MuQ-large-msd-iter,VGMIDITVar-timbre__005f6eeb,VGMIDITVar-timbre,8,102960,8,0.04016290232539177,3.2314473319416948e-09,12428765.874781843,72.38662719726562,whiten-a0.7,0.32118244907748544,0.23383570877473697,0.3706979923735777,3.0,nan,nan,nan,0.006895546335726976,683.3574463757785,0.008869990706443787,-0.0001929971040226519,70.15944390000368
MuQ,OpenMuQ/MuQ-large-msd-iter,VGMIDITVar-timbre__005f6eeb,VGMIDITVar-timbre,8,102960,8,0.04016290232539177,3.2314473319416948e-09,12428765.874781843,72.38662719726562,whiten-a1.0,0.35086474190742334,0.2515342859188949,0.3971187415490435,2.0,nan,nan,nan,0.0035825080703943968,904.0031007095695,0.002305778441950679,-6.755878712283447e-05,70.08904510000139
MuQ,OpenMuQ/MuQ-large-msd-iter,VGMIDITVar-timbre__005f6eeb,VGMIDITVar-timbre,8,102960,8,0.04016290232539177,3.2314473319416948e-09,12428765.874781843,72.38662719726562,whiten-a1.0-erel-1e-3,0.3323208671584883,0.2377738866396393,0.3775644329492844,3.0,nan,nan,nan,0.005768236238509417,607.0118754902917,0.004415749106556177,-0.00038014340680092573,70.31562799999665
MuQ,OpenMuQ/MuQ-large-msd-iter,VGMIDITVar-timbre__005f6eeb,VGMIDITVar-timbre,8,102960,8,0.04016290232539177,3.2314473319416948e-09,12428765.874781843,72.38662719726562,whiten-a1.0-erel-1e-2,0.2906008000902426,0.21394024864468714,0.341803235078025,3.0,nan,nan,nan,0.008620079606771469,334.2780377176268,0.009400277398526669,-0.0004109193687327206,70.18315939999593
