encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,VGMIDITVar-timbre__3c48121b,VGMIDITVar-timbre,15,102960,8,0.042496711015701294,2.8799697002201974e-11,1475595767.9850614,49.091121673583984,raw,0.07090640188646002,0.08312442405889262,0.11902794492662187,4.0,nan,nan,nan,0.8031525015830994,48.86195050379246,0.11916612833738327,0.6443275213241577,78.3081044999999
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,VGMIDITVar-timbre__3c48121b,VGMIDITVar-timbre,15,102960,8,0.042496711015701294,2.8799697002201974e-11,1475595767.9850614,49.091121673583984,centered,0.07593778145806603,0.08499434984485578,0.12338651381275619,4.0,nan,nan,nan,0.023941773921251297,48.94375247285333,0.11463237553834915,0.00021392793860286474,73.42835390000255
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,VGMIDITVar-timbre__3c48121b,VGMIDITVar-timbre,15,102960,8,0.042496711015701294,2.8799697002201974e-11,1475595767.9850614,49.091121673583984,abtt-1,0.07900055161914468,0.08684787801282355,0.1273716503742499,4.0,nan,nan,nan,0.0224636048078537,54.74385050676704,0.11080117523670197,-0.00014198727149050683,70.96394929999951
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,VGMIDITVar-timbre__3c48121b,VGMIDITVar-timbre,15,102960,8,0.042496711015701294,2.8799697002201974e-11,1475595767.9850614,49.091121673583984,abtt-3,0.15770160311640394,0.13372942863409237,0.2115369701506201,3.0,nan,nan,nan,0.015306670218706131,66.12017772575003,0.08003072440624237,0.003995122388005257,69.40770809999958
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,VGMIDITVar-timbre__3c48121b,VGMIDITVar-timbre,15,102960,8,0.042496711015701294,2.8799697002201974e-11,1475595767.9850614,49.091121673583984,abtt-10,0.2724319676332506,0.2068059120815509,0.3267853808154373,3.0,nan,nan,nan,0.014309980906546116,83.73700288575927,0.053994663059711456,0.0008863172261044383,75.09640840000066
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,VGMIDITVar-timbre__3c48121b,VGMIDITVar-timbre,15,102960,8,0.042496711015701294,2.8799697002201974e-11,1475595767.9850614,49.091121673583984,whiten-a0.5,0.265520850211838,0.2089465029773584,0.3258820703851418,3.0,nan,nan,nan,0.01678961142897606,291.8008776600446,0.031374044716358185,-2.3269296434591524e-05,70.05225639999844
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,VGMIDITVar-timbre__3c48121b,VGMIDITVar-timbre,15,102960,8,0.042496711015701294,2.8799697002201974e-11,1475595767.9850614,49.091121673583984,whiten-a0.7,0.3423049342745923,0.2491595102896879,0.387979065739892,2.0,nan,nan,nan,0.010815655812621117,616.1412376656828,0.011348886415362358,-0.000566835340578109,70.23199090000708
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,VGMIDITVar-timbre__3c48121b,VGMIDITVar-timbre,15,102960,8,0.042496711015701294,2.8799697002201974e-11,1475595767.9850614,49.091121673583984,whiten-a1.0,0.372492978301975,0.26826123431646615,0.4129241069292515,2.0,nan,nan,nan,0.004254424944519997,903.3597537733972,0.002352980663999915,-0.0009959470480680466,69.82545589999063
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,VGMIDITVar-timbre__3c48121b,VGMIDITVar-timbre,15,102960,8,0.042496711015701294,2.8799697002201974e-11,1475595767.9850614,49.091121673583984,whiten-a1.0-erel-1e-3,0.34733310994193567,0.25099703973957366,0.3907049639798157,2.0,nan,nan,nan,0.008800411596894264,461.5155566824227,0.005999841261655092,-0.0007678779656998813,70.29807350000192
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,VGMIDITVar-timbre__3c48121b,VGMIDITVar-timbre,15,102960,8,0.042496711015701294,2.8799697002201974e-11,1475595767.9850614,49.091121673583984,whiten-a1.0-erel-1e-2,0.3077830776279626,0.22576381926292374,0.35742213669681316,3.0,nan,nan,nan,0.013515865430235863,236.64797874730755,0.01289901603013277,-0.00036293009179644287,70.55037420000008
