encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,fit_mode,n_fit,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,inductive:frac0.5:seed0,3844,0.01641681417822838,4.891534217676963e-07,33561.68729005617,70.6832275390625,raw,0.14842440719390274,0.03904839310226327,0.1755807897320651,2.0,nan,nan,nan,0.9373215436935425,70.84829934285989,0.12065518647432327,0.8782812356948853,0.3067577000038
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,inductive:frac0.5:seed0,3844,0.01641681417822838,4.891534217676963e-07,33561.68729005617,70.6832275390625,centered,0.16573659296882384,0.044646182282069784,0.18942742665831047,2.0,nan,nan,nan,0.10668985545635223,71.86335331551847,0.11778181791305542,0.011223114095628262,0.15176860000065062
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,inductive:frac0.5:seed0,3844,0.01641681417822838,4.891534217676963e-07,33561.68729005617,70.6832275390625,whiten-a0.2,0.18047891494492366,0.05079613006909947,0.20613658847146518,2.0,nan,nan,nan,0.09729620069265366,134.14809522136704,0.07676490396261215,0.009741907007992268,0.16214839999884134
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,inductive:frac0.5:seed0,3844,0.01641681417822838,4.891534217676963e-07,33561.68729005617,70.6832275390625,whiten-a0.4,0.19820033589757785,0.05825989364124246,0.22530912943772513,1.0,nan,nan,nan,0.08583851903676987,254.9308316619063,0.044186726212501526,0.007769742514938116,0.16393109999626176
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,inductive:frac0.5:seed0,3844,0.01641681417822838,4.891534217676963e-07,33561.68729005617,70.6832275390625,whiten-a0.6,0.2125266073437437,0.06628023348276296,0.24042315757371982,1.0,nan,nan,nan,0.07341563701629639,424.5667595261789,0.0228193998336792,0.005670682527124882,0.16345379999984289
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,inductive:frac0.5:seed0,3844,0.01641681417822838,4.891534217676963e-07,33561.68729005617,70.6832275390625,whiten-a0.8,0.2099701999921288,0.07001864875596095,0.23929566373753897,1.0,nan,nan,nan,0.0628829076886177,549.5308230165545,0.011806806549429893,0.004046004265546799,0.16235859999869717
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,inductive:frac0.5:seed0,3844,0.01641681417822838,4.891534217676963e-07,33561.68729005617,70.6832275390625,whiten-a0.9,0.20013572808012847,0.06940713148245943,0.22904173416583895,1.0,nan,nan,nan,0.0590408518910408,570.7482086526619,0.009080815128982067,0.0035153243225067854,0.16364210000028834
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,inductive:frac0.5:seed0,3844,0.01641681417822838,4.891534217676963e-07,33561.68729005617,70.6832275390625,whiten-a1.0,0.18671521093639418,0.06742966679274613,0.21371191281820298,1.0,nan,nan,nan,0.056160155683755875,567.0634871264444,0.007550408132374287,0.003182022599503398,0.16440390000207117
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,inductive:frac0.5:seed0,3844,0.01641681417822838,4.891534217676963e-07,33561.68729005617,70.6832275390625,whiten-a1.0-erel-1e-3,0.20805459001314597,0.06953762175581303,0.2378281797492,1.0,nan,nan,nan,0.06370943039655685,475.7714044782928,0.012244915589690208,0.004163567908108234,0.1644945000007283
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,inductive:frac0.5:seed0,3844,0.01641681417822838,4.891534217676963e-07,33561.68729005617,70.6832275390625,whiten-a1.0-erel-1e-2,0.20110908356239612,0.06323262716178633,0.23060255484210643,1.0,nan,nan,nan,0.07457902282476425,296.7125441752528,0.021240999922156334,0.00613187812268734,0.16146109999681357
