encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,fit_mode,n_fit,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.020729489624500275,2.2596834126087373e-11,917362561.0044504,83.17660522460938,raw,0.3064396046242825,0.08960833948308607,0.3228070488578753,1.0,nan,nan,nan,0.9112979769706726,79.8112839960653,0.11357418447732925,0.830039918422699,0.3963469999944209
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.020729489624500275,2.2596834126087373e-11,917362561.0044504,83.17660522460938,centered,0.33538765629326756,0.09411883316263069,0.3443296206526916,1.0,nan,nan,nan,0.15211902558803558,80.32525501143623,0.11357780545949936,0.024166274815797806,0.23283709999668645
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.020729489624500275,2.2596834126087373e-11,917362561.0044504,83.17660522460938,whiten-a0.2,0.3667078111003202,0.10212175847581148,0.3715637323146559,1.0,nan,nan,nan,0.13672952353954315,145.55973159257354,0.07851632684469223,0.019969603046774864,0.2564951999956975
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.020729489624500275,2.2596834126087373e-11,917362561.0044504,83.17660522460938,whiten-a0.4,0.4063145274405584,0.11180056264776665,0.40832467705010117,1.0,nan,nan,nan,0.11938755959272385,274.4346578477967,0.04826978221535683,0.01556029636412859,0.25837029999820516
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.020729489624500275,2.2596834126087373e-11,917362561.0044504,83.17660522460938,whiten-a0.6,0.44928569637340965,0.12278504123957248,0.4500004946458165,1.0,nan,nan,nan,0.10180873423814774,467.6699328558949,0.025887804105877876,0.011511939577758312,0.25954279999859864
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.020729489624500275,2.2596834126087373e-11,917362561.0044504,83.17660522460938,whiten-a0.8,0.470507611617725,0.1305927479487766,0.47169398316465316,1.0,nan,nan,nan,0.08771972358226776,614.2145841773748,0.013599181547760963,0.008625577203929424,0.2567748000001302
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.020729489624500275,2.2596834126087373e-11,917362561.0044504,83.17660522460938,whiten-a0.9,0.46426512569353,0.13275367740567037,0.4662279730476877,1.0,nan,nan,nan,0.08276491612195969,636.1059776407443,0.01207549124956131,0.007688284385949373,0.25851439999678405
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.020729489624500275,2.2596834126087373e-11,917362561.0044504,83.17660522460938,whiten-a1.0,0.4484030120622218,0.13288691169499406,0.45076364760972537,1.0,nan,nan,nan,0.07908843457698822,627.9296337553283,0.011381763964891434,0.007015018258243799,0.2533118999999715
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.020729489624500275,2.2596834126087373e-11,917362561.0044504,83.17660522460938,whiten-a1.0-erel-1e-3,0.45054783977425494,0.12650940901054544,0.45415426332451625,1.0,nan,nan,nan,0.09242276847362518,487.07420396721517,0.01619073562324047,0.009555651806294918,0.25652439999976195
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.020729489624500275,2.2596834126087373e-11,917362561.0044504,83.17660522460938,whiten-a1.0-erel-1e-2,0.4093965674330677,0.11453264070758305,0.4155631210274249,1.0,nan,nan,nan,0.10263412445783615,294.42976154154223,0.02596055343747139,0.011922289617359638,0.2528415999986464
