layer,abc_map,mtf_map,delta_map,abc_map_centered,mtf_map_centered
0,0.6768,0.698,-0.0212,0.6895,0.6945
1,0.7305,0.6547,0.0757,0.7391,0.6498
2,0.7883,0.6488,0.1395,0.7901,0.6512
3,0.7735,0.6739,0.0996,0.7818,0.6704
4,0.779,0.716,0.063,0.7887,0.7103
5,0.7937,0.7494,0.0443,0.8005,0.7421
6,0.8144,0.7852,0.0292,0.8163,0.7778
7,0.8248,0.825,-0.0002,0.834,0.8262
8,0.8232,0.8036,0.0197,0.8363,0.7936
9,0.8541,0.81,0.0441,0.8645,0.8164
10,0.8466,0.8054,0.0412,0.8598,0.814
11,0.8615,0.8076,0.0539,0.8533,0.8149
12,0.8474,0.7995,0.0479,0.8512,0.8102
meanall,0.8618,0.7873,0.0746,0.8586,0.7812
