rank,layer,map,map_centered,map_whitened,recall@1,recall@5,recall@10,recall@50,recall@100
1,7,0.8939,0.8921,0.8943,0.2682,0.6973,0.8764,1,1
2,9,0.8927,0.8943,0.8906,0.2694,0.6963,0.8729,1,1
3,11,0.892,0.8935,0.8833,0.2694,0.6912,0.8774,0.9991,1
4,10,0.8912,0.8893,0.8885,0.2682,0.6937,0.8794,1,1
5,8,0.8901,0.8847,0.8852,0.2694,0.6951,0.8633,1,1
6,12,0.879,0.8885,0.8807,0.2682,0.6725,0.8721,0.9974,1
7,6,0.8762,0.8724,0.8747,0.2682,0.6835,0.8538,1,1
8,5,0.8567,0.8491,0.855,0.2682,0.6707,0.8358,0.9991,1
9,4,0.8348,0.8312,0.8352,0.267,0.6576,0.793,0.9983,1
10,0,0.8233,0.823,0.8121,0.2673,0.6517,0.7788,0.9991,1
11,3,0.811,0.8061,0.8064,0.2649,0.6476,0.7645,0.9939,1
12,1,0.7992,0.7962,0.7973,0.2653,0.6374,0.7583,0.9849,1
13,2,0.7967,0.7879,0.7919,0.2641,0.6376,0.7557,0.9841,1
,meanall,0.878,0.8723,0.8808,0.2694,0.6832,0.8542,1,1
